Driver,DriverNumber,LapNumber,Stint,Compound,TyreLife,FreshTyre,LapTime,Sector1Time,Sector2Time,Sector3Time,Team,Position,DriverTime,WeatherTime,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,RoundNumber,Session,Date,GP,TrackStatus,Year
ALB,23,3,2,MEDIUM,3,0,96.216,30.47,41.812,23.934,Williams,,0 days 00:29:46.931000,0 days 00:29:34.016000,27.0,12.0,1017.2,False,41.1,10.0,2.2,1.0,FP1,05-03-2023,Bahrain Grand Prix,1.0,2023.0
ALB,23,4,2,MEDIUM,4,0,137.05,42.034,63.859,31.157,Williams,,0 days 00:32:03.981000,0 days 00:31:34.045000,27.3,12.0,1017.4,False,41.1,341.0,2.5,1.0,FP1,05-03-2023,Bahrain Grand Prix,1.0,2023.0
ALB,23,5,2,MEDIUM,5,0,97.024,31.111,41.787,24.126,Williams,,0 days 00:33:41.005000,0 days 00:33:34.043000,27.2,13.0,1017.4,False,41.0,342.0,2.5,1.0,FP1,05-03-2023,Bahrain Grand Prix,1.0,2023.0
ALB,23,6,2,MEDIUM,6,0,126.27,37.96,52.041,36.269,Williams,,0 days 00:35:47.275000,0 days 00:35:34.056000,27.0,13.0,1017.4,False,40.9,342.0,2.0,1.0,FP1,05-03-2023,Bahrain Grand Prix,1.0,2023.0
ALB,23,8,3,MEDIUM,8,0,96.859,30.984,41.838,24.037,Williams,,0 days 00:40:44.820000,0 days 00:40:34.067000,27.1,13.0,1017.2,False,40.8,344.0,3.5,1.0,FP1,05-03-2023,Bahrain Grand Prix,1.0,2023.0
ALB,23,9,3,MEDIUM,9,0,125.244,37.106,57.217,30.921,Williams,,0 days 00:42:50.064000,0 days 00:42:34.064000,27.1,13.0,1017.2,False,40.4,357.0,3.4,1.0,FP1,05-03-2023,Bahrain Grand Prix,1.0,2023.0
ALB,23,11,4,MEDIUM,2,1,96.018,30.409,41.571,24.038,Williams,,0 days 01:11:34.267000,0 days 01:11:34.080000,26.5,12.0,1017.4,False,38.9,344.0,2.0,1.0,FP1,05-03-2023,Bahrain Grand Prix,1.0,2023.0
ALB,23,13,4,MEDIUM,4,1,97.744,30.341,41.753,25.65,Williams,,0 days 01:15:45.235000,0 days 01:15:34.076000,26.5,12.0,1017.4,False,38.6,328.0,2.0,1.0,FP1,05-03-2023,Bahrain Grand Prix,1.0,2023.0
ALB,23,14,4,MEDIUM,5,1,135.731,37.663,54.082,43.986,Williams,,0 days 01:18:00.966000,0 days 01:17:34.073000,26.5,13.0,1017.4,False,38.4,351.0,2.4,1.0,FP1,05-03-2023,Bahrain Grand Prix,1.0,2023.0
ALO,14,2,1,MEDIUM,2,1,95.048,30.462,40.896,23.69,Aston Martin,,0 days 00:19:50.339000,0 days 00:19:33.980000,27.3,11.0,1017.2,False,41.7,350.0,2.5,1.0,FP1,05-03-2023,Bahrain Grand Prix,21.0,2023.0
