GP,Driver,Stint,Compound,StintLength,AirTemp,TrackTemp,FreshTyre,RaceProgress,YellowLaps,SCLaps,VSCLaps,RedFlagLaps
Australian Grand Prix,ALB,1,MEDIUM,6,15.985714285714286,27.26666666666667,1,0.0185185185185185,4,12,0,0
Australian Grand Prix,ALO,1,MEDIUM,8,17.1625,30.36875,0,0.0185185185185185,5,11,0,0
Australian Grand Prix,ALO,2,HARD,46,17.292063492063495,29.506349206349203,1,0.1851851851851851,3,7,2,2
Australian Grand Prix,BOT,1,SOFT,1,15.914285714285716,25.704761904761902,1,0.0185185185185185,6,14,0,0
Australian Grand Prix,BOT,2,HARD,6,16.683333333333334,28.37222222222222,1,0.037037037037037,3,7,0,2
Australian Grand Prix,BOT,3,HARD,52,17.182258064516127,28.80322580645161,0,0.1851851851851851,1,1,4,0
Australian Grand Prix,DEV,1,HARD,7,16.525641025641026,28.066666666666663,1,0.0185185185185185,9,21,0,2
Australian Grand Prix,DEV,2,MEDIUM,37,17.498,30.298,1,0.1851851851851851,1,2,3,1
Australian Grand Prix,DEV,3,SOFT,8,17.38235294117647,29.823529411764707,1,0.8518518518518519,1,1,0,0
Australian Grand Prix,GAS,1,SOFT,7,16.66774193548387,28.635483870967743,1,0.0185185185185185,7,17,0,2
Australian Grand Prix,GAS,2,HARD,46,17.21060606060606,29.44393939393939,1,0.1851851851851851,2,5,4,1
Australian Grand Prix,HAM,1,MEDIUM,7,16.26111111111111,27.405555555555555,1,0.0185185185185185,8,18,0,2
Australian Grand Prix,HAM,2,HARD,46,17.25076923076923,29.586153846153845,1,0.1851851851851851,2,5,4,2
Australian Grand Prix,HUL,1,MEDIUM,7,16.534615384615385,28.146153846153844,1,0.0185185185185185,6,16,0,0
Australian Grand Prix,HUL,2,HARD,46,17.122535211267607,28.95633802816901,1,0.1851851851851851,4,8,2,4
Australian Grand Prix,MAG,1,MEDIUM,7,16.423809523809524,28.195238095238096,1,0.0185185185185185,5,13,0,0
Australian Grand Prix,MAG,3,HARD,45,17.12121212121212,28.83939393939394,0,0.1851851851851851,1,2,4,1
Australian Grand Prix,NOR,1,MEDIUM,7,15.988461538461538,27.03846153846154,1,0.0185185185185185,5,14,0,1
Australian Grand Prix,NOR,2,HARD,46,17.390740740740743,29.62777777777778,1,0.1851851851851851,2,4,2,2
Australian Grand Prix,OCO,1,SOFT,1,16.396666666666665,27.23333333333333,1,0.0185185185185185,8,16,0,2
Australian Grand Prix,OCO,2,HARD,6,16.154166666666665,27.25,1,0.037037037037037,2,6,2,1
Australian Grand Prix,OCO,3,HARD,53,17.50701754385965,30.18421052631579,0,0.1851851851851851,1,1,4,0
Australian Grand Prix,PER,1,HARD,1,16.5,27.165,1,0.0185185185185185,6,13,0,1
Australian Grand Prix,PER,2,MEDIUM,1,16.275,28.125,1,0.037037037037037,2,5,0,2
Australian Grand Prix,PER,3,HARD,5,16.607692307692307,29.146153846153844,1,0.0555555555555555,1,2,0,0
Australian Grand Prix,PER,4,HARD,47,17.72978723404255,30.717021276595744,0,0.1851851851851851,1,1,2,0
Australian Grand Prix,PIA,1,MEDIUM,7,16.400000000000002,27.790909090909093,1,0.0185185185185185,8,19,0,1
Australian Grand Prix,PIA,2,HARD,46,16.951249999999998,28.222500000000004,1,0.1851851851851851,2,3,5,1
Australian Grand Prix,RUS,1,MEDIUM,7,16.433333333333334,27.81515151515152,1,0.0185185185185185,9,19,0,2
Australian Grand Prix,RUS,3,HARD,10,16.422727272727272,26.545454545454547,0,0.1851851851851851,1,1,1,0
Australian Grand Prix,SAI,1,MEDIUM,7,16.693333333333335,28.46333333333333,0,0.0185185185185185,7,17,0,2
Australian Grand Prix,SAI,3,HARD,47,17.412068965517243,30.00344827586207,0,0.1851851851851851,1,1,4,0
Australian Grand Prix,SAR,1,HARD,1,16.277272727272727,27.145454545454548,1,0.0185185185185185,5,13,0,2
Australian Grand Prix,SAR,2,MEDIUM,1,17.950000000000003,33.8,1,0.037037037037037,0,1,0,0
Australian Grand Prix,SAR,3,HARD,6,15.994736842105263,26.9,0,0.0555555555555555,2,4,1,1
Australian Grand Prix,SAR,4,MEDIUM,28,17.917241379310347,31.803448275862067,1,0.1851851851851851,0,0,2,0
Australian Grand Prix,SAR,5,HARD,24,17.804545454545455,30.88181818181818,0,0.6851851851851852,1,1,2,0
Australian Grand Prix,STR,1,MEDIUM,8,17.23,30.22,0,0.0185185185185185,6,12,0,0
Australian Grand Prix,STR,2,HARD,46,17.276666666666664,29.49,1,0.1851851851851851,2,5,2,1
Australian Grand Prix,TSU,1,MEDIUM,7,16.545714285714286,28.145714285714288,1,0.0185185185185185,8,20,0,2
Australian Grand Prix,TSU,2,HARD,46,16.977464788732394,28.343661971830983,1,0.1851851851851851,2,4,4,1
Australian Grand Prix,VER,1,MEDIUM,7,16.7,28.695652173913043,1,0.0185185185185185,6,14,0,0
Australian Grand Prix,VER,2,HARD,46,17.175757575757576,29.348484848484848,1,0.1851851851851851,5,7,2,3
Australian Grand Prix,ZHO,1,SOFT,1,16.103703703703705,26.25925925925926,1,0.0185185185185185,7,17,0,2
Australian Grand Prix,ZHO,2,HARD,6,16.47857142857143,28.1,1,0.037037037037037,2,6,0,2
Australian Grand Prix,ZHO,3,HARD,53,17.370967741935484,29.346774193548388,0,0.1851851851851851,1,2,4,0
Austrian Grand Prix,ALB,1,MEDIUM,2,24.9,38.55,1,0.0140845070422535,1,4,0,0
Austrian Grand Prix,ALB,2,MEDIUM,14,25.90689655172413,41.49310344827586,0,0.0422535211267605,4,1,3,0
Austrian Grand Prix,ALB,3,HARD,27,23.10666666666667,33.21666666666667,1,0.2112676056338028,0,0,1,0
Austrian Grand Prix,ALB,4,HARD,30,22.97878787878788,32.31818181818182,1,0.5915492957746479,0,0,0,0
Austrian Grand Prix,ALO,1,HARD,2,26.50909090909091,43.33636363636364,1,0.0140845070422535,1,6,0,0
Austrian Grand Prix,ALO,2,HARD,15,24.47894736842105,37.38947368421052,0,0.0422535211267605,3,1,2,0
Austrian Grand Prix,ALO,3,MEDIUM,29,23.541666666666668,34.18611111111111,0,0.2253521126760563,1,0,4,0
Austrian Grand Prix,ALO,4,MEDIUM,27,24.55714285714286,36.82380952380952,1,0.6338028169014085,1,0,2,0
Austrian Grand Prix,BOT,1,HARD,2,26.58181818181818,44.46363636363637,1,0.0140845070422535,1,4,0,0
Austrian Grand Prix,BOT,2,HARD,21,24.85806451612904,38.53548387096774,0,0.0422535211267605,4,1,6,0
Austrian Grand Prix,BOT,3,MEDIUM,19,23.22272727272728,33.33181818181818,1,0.3098591549295774,0,0,0,0
Austrian Grand Prix,BOT,4,HARD,30,23.43055555555556,33.544444444444444,1,0.5774647887323944,0,0,0,0
Austrian Grand Prix,DEV,1,MEDIUM,2,26.33,42.3,1,0.0140845070422535,1,6,0,0
Austrian Grand Prix,DEV,2,MEDIUM,12,25.504761904761907,40.266666666666666,0,0.0422535211267605,2,1,2,0
Austrian Grand Prix,DEV,3,HARD,25,24.51052631578948,37.37105263157895,1,0.1830985915492957,2,0,2,0
Austrian Grand Prix,DEV,4,MEDIUM,33,23.70487804878049,34.68292682926829,1,0.5352112676056338,0,0,0,0
Austrian Grand Prix,GAS,1,MEDIUM,2,26.31111111111112,43.22222222222222,1,0.0140845070422535,1,5,0,0
Austrian Grand Prix,GAS,2,MEDIUM,14,24.73684210526316,38.15263157894736,0,0.0422535211267605,2,1,1,0
Austrian Grand Prix,GAS,3,HARD,30,23.945,35.665,1,0.2112676056338028,1,0,5,0
Austrian Grand Prix,GAS,4,MEDIUM,27,23.212903225806453,32.91290322580645,1,0.6338028169014085,0,0,0,0
Austrian Grand Prix,HAM,1,MEDIUM,2,26.59166666666667,43.575,1,0.0140845070422535,1,6,0,0
Austrian Grand Prix,HAM,2,MEDIUM,14,24.95238095238096,38.30952380952381,0,0.0422535211267605,4,1,2,0
Austrian Grand Prix,HAM,3,HARD,28,24.2875,36.755,1,0.2112676056338028,0,0,3,0
Austrian Grand Prix,HAM,4,MEDIUM,29,22.990625,32.309375,1,0.6056338028169014,2,0,1,0
Austrian Grand Prix,HUL,1,MEDIUM,5,26.641666666666666,43.73333333333333,0,0.0140845070422535,1,6,0,0
Austrian Grand Prix,HUL,2,MEDIUM,14,26.008000000000003,41.208,0,0.0422535211267605,1,1,0,0
Austrian Grand Prix,HUL,3,HARD,1,26.116666666666664,39.5,1,0.1690140845070422,1,0,0,0
Austrian Grand Prix,LEC,1,MEDIUM,2,27.052941176470583,44.858823529411765,1,0.0140845070422535,3,6,1,0
Austrian Grand Prix,LEC,2,MEDIUM,15,24.63809523809524,37.285714285714285,0,0.0422535211267605,2,1,3,0
Austrian Grand Prix,LEC,3,MEDIUM,32,23.700000000000003,34.826829268292684,1,0.2253521126760563,2,0,2,0
Austrian Grand Prix,LEC,4,HARD,24,24.35135135135135,35.983783783783785,1,0.676056338028169,0,0,1,0
Austrian Grand Prix,MAG,1,HARD,1,26.46666666666667,42.48333333333333,1,0.0140845070422535,1,5,0,0
Austrian Grand Prix,MAG,2,MEDIUM,1,26.925,42.96666666666667,1,0.028169014084507,0,1,0,0
Austrian Grand Prix,MAG,3,HARD,31,23.95897435897436,36.22307692307693,1,0.0422535211267605,4,1,4,0
Austrian Grand Prix,MAG,4,HARD,37,23.506976744186044,34.1,0,0.4929577464788732,0,0,0,0
Austrian Grand Prix,NOR,1,MEDIUM,2,26.77857142857143,44.15714285714286,1,0.0140845070422535,1,6,0,0
Austrian Grand Prix,NOR,2,MEDIUM,14,24.376470588235293,37.10588235294117,0,0.0422535211267605,4,1,3,0
Austrian Grand Prix,NOR,3,HARD,27,23.49090909090909,34.08787878787879,1,0.2112676056338028,0,0,3,0
Austrian Grand Prix,NOR,4,HARD,30,23.141176470588235,32.794117647058826,1,0.5915492957746479,1,0,2,0
Austrian Grand Prix,OCO,1,MEDIUM,2,25.666666666666668,42.01666666666667,1,0.0140845070422535,1,4,0,0
Austrian Grand Prix,OCO,2,MEDIUM,14,25.412,39.8,0,0.0422535211267605,4,2,2,0
Austrian Grand Prix,OCO,3,HARD,26,24.5625,37.37,1,0.2112676056338028,0,0,1,0
