GP,Compound,StintLengthStd
Australian Grand Prix,SOFT,3.5777087639996634
Australian Grand Prix,MEDIUM,9.366607354497857
Australian Grand Prix,HARD,20.596763499799348
Australian Grand Prix,INTERMEDIATE,
Australian Grand Prix,WET,
Austrian Grand Prix,SOFT,
Austrian Grand Prix,MEDIUM,10.722627198711761
Austrian Grand Prix,HARD,10.1924878841803
Austrian Grand Prix,INTERMEDIATE,
Austrian Grand Prix,WET,
Azerbaijan Grand Prix,SOFT,0.5773502691896258
Azerbaijan Grand Prix,MEDIUM,2.289504327438469
Azerbaijan Grand Prix,HARD,12.24329483424574
Azerbaijan Grand Prix,INTERMEDIATE,
Azerbaijan Grand Prix,WET,
Bahrain Grand Prix,SOFT,4.285406151387864
Bahrain Grand Prix,MEDIUM,
Bahrain Grand Prix,HARD,6.476131963216245
Bahrain Grand Prix,INTERMEDIATE,
Bahrain Grand Prix,WET,
Belgian Grand Prix,SOFT,6.233868069755015
Belgian Grand Prix,MEDIUM,5.063978144095277
Belgian Grand Prix,HARD,
Belgian Grand Prix,INTERMEDIATE,
Belgian Grand Prix,WET,
British Grand Prix,SOFT,6.552951737239351
British Grand Prix,MEDIUM,7.214953607304455
British Grand Prix,HARD,8.468428763016531
British Grand Prix,INTERMEDIATE,
British Grand Prix,WET,
Canadian Grand Prix,SOFT,5.656854249492381
Canadian Grand Prix,MEDIUM,10.715122622436612
Canadian Grand Prix,HARD,8.832659453181304
Canadian Grand Prix,INTERMEDIATE,
Canadian Grand Prix,WET,
Dutch Grand Prix,SOFT,13.674963449563622
Dutch Grand Prix,MEDIUM,9.549578233851193
Dutch Grand Prix,HARD,
Dutch Grand Prix,INTERMEDIATE,4.2185208743524
Dutch Grand Prix,WET,
Hungarian Grand Prix,SOFT,5.744562646538029
Hungarian Grand Prix,MEDIUM,8.1790426781155
Hungarian Grand Prix,HARD,5.405635898846635
Hungarian Grand Prix,INTERMEDIATE,
Hungarian Grand Prix,WET,
Italian Grand Prix,SOFT,
Italian Grand Prix,MEDIUM,4.163331998932265
Italian Grand Prix,HARD,6.309280271462002
Italian Grand Prix,INTERMEDIATE,
Italian Grand Prix,WET,
Japanese Grand Prix,SOFT,4.121757985239902
Japanese Grand Prix,MEDIUM,5.539898572219187
Japanese Grand Prix,HARD,6.119581306128618
Japanese Grand Prix,INTERMEDIATE,
Japanese Grand Prix,WET,
Las Vegas Grand Prix,SOFT,
Las Vegas Grand Prix,MEDIUM,4.903274952840999
Las Vegas Grand Prix,HARD,6.097358262213053
Las Vegas Grand Prix,INTERMEDIATE,
Las Vegas Grand Prix,WET,
Mexico City Grand Prix,SOFT,9.089454429072289
Mexico City Grand Prix,MEDIUM,6.363586889108854
Mexico City Grand Prix,HARD,
Mexico City Grand Prix,INTERMEDIATE,
Mexico City Grand Prix,WET,
Miami Grand Prix,SOFT,0.7071067811865476
Miami Grand Prix,MEDIUM,5.53214019737377
Miami Grand Prix,HARD,6.304551405219299
Miami Grand Prix,INTERMEDIATE,
Miami Grand Prix,WET,
Monaco Grand Prix,SOFT,19.79898987322333
Monaco Grand Prix,MEDIUM,19.809809979617963
Monaco Grand Prix,HARD,17.390835991135912
Monaco Grand Prix,INTERMEDIATE,8.097432991549335
Monaco Grand Prix,WET,2.0816659994661326
Qatar Grand Prix,SOFT,3.7013511046643495
Qatar Grand Prix,MEDIUM,3.7429763880606517
Qatar Grand Prix,HARD,1.912241267901796
Qatar Grand Prix,INTERMEDIATE,
Qatar Grand Prix,WET,
Saudi Arabian Grand Prix,SOFT,7.571877794400366
Saudi Arabian Grand Prix,MEDIUM,8.29199269519353
Saudi Arabian Grand Prix,HARD,12.883588091260258
Saudi Arabian Grand Prix,INTERMEDIATE,
Saudi Arabian Grand Prix,WET,
Singapore Grand Prix,SOFT,9.912113800799505
Singapore Grand Prix,MEDIUM,5.4458372044289804
Singapore Grand Prix,HARD,9.785276387866013
Singapore Grand Prix,INTERMEDIATE,
Singapore Grand Prix,WET,
Spanish Grand Prix,SOFT,6.9156407480812465
Spanish Grand Prix,MEDIUM,4.702940256778043
Spanish Grand Prix,HARD,7.324423946440167
Spanish Grand Prix,INTERMEDIATE,
Spanish Grand Prix,WET,
São Paulo Grand Prix,SOFT,2.1213203435596424
São Paulo Grand Prix,MEDIUM,7.033997738342438
São Paulo Grand Prix,HARD,6.548041485103801
São Paulo Grand Prix,INTERMEDIATE,
São Paulo Grand Prix,WET,
United States Grand Prix,SOFT,4.242640687119285
United States Grand Prix,MEDIUM,5.678574831875699
United States Grand Prix,HARD,5.17042873786433
United States Grand Prix,INTERMEDIATE,
United States Grand Prix,WET,
