Time,Driver,DriverNumber,LapNumber,Stint,Compound,TyreLife,FreshTyre,LapTime,Sector1Time,Sector2Time,Sector3Time,Team,Position,GP
0 days 01:03:46.121000,VER,1,1.0,1.0,MEDIUM,1.0,True,0 days 00:01:37.167000,,0 days 00:00:38.051000,0 days 00:00:26.073000,Red Bull Racing,2.0,Pre-Season Testing
0 days 01:05:19.554000,VER,1,2.0,1.0,MEDIUM,2.0,True,0 days 00:01:33.433000,0 days 00:00:29.616000,0 days 00:00:38,0 days 00:00:25.817000,Red Bull Racing,2.0,Pre-Season Testing
0 days 01:06:52.284000,VER,1,3.0,1.0,MEDIUM,3.0,True,0 days 00:01:32.730000,0 days 00:00:29.380000,0 days 00:00:37.690000,0 days 00:00:25.660000,Red Bull Racing,2.0,Pre-Season Testing
0 days 01:08:25.064000,VER,1,4.0,1.0,MEDIUM,4.0,True,0 days 00:01:32.780000,0 days 00:00:29.407000,0 days 00:00:37.650000,0 days 00:00:25.723000,Red Bull Racing,2.0,Pre-Season Testing
0 days 01:09:57.646000,VER,1,5.0,1.0,MEDIUM,5.0,True,0 days 00:01:32.582000,0 days 00:00:29.338000,0 days 00:00:37.403000,0 days 00:00:25.841000,Red Bull Racing,1.0,Pre-Season Testing
0 days 01:11:30.673000,VER,1,6.0,1.0,MEDIUM,6.0,True,0 days 00:01:33.027000,0 days 00:00:29.667000,0 days 00:00:37.543000,0 days 00:00:25.817000,Red Bull Racing,1.0,Pre-Season Testing
0 days 01:13:03.773000,VER,1,7.0,1.0,MEDIUM,7.0,True,0 days 00:01:33.100000,0 days 00:00:29.726000,0 days 00:00:37.612000,0 days 00:00:25.762000,Red Bull Racing,1.0,Pre-Season Testing
0 days 01:14:36.657000,VER,1,8.0,1.0,MEDIUM,8.0,True,0 days 00:01:32.884000,0 days 00:00:29.625000,0 days 00:00:37.578000,0 days 00:00:25.681000,Red Bull Racing,1.0,Pre-Season Testing
0 days 01:16:09.479000,VER,1,9.0,1.0,MEDIUM,9.0,True,0 days 00:01:32.822000,0 days 00:00:29.780000,0 days 00:00:37.489000,0 days 00:00:25.553000,Red Bull Racing,1.0,Pre-Season Testing
0 days 01:17:42.073000,VER,1,10.0,1.0,MEDIUM,10.0,True,0 days 00:01:32.594000,0 days 00:00:29.660000,0 days 00:00:37.373000,0 days 00:00:25.561000,Red Bull Racing,1.0,Pre-Season Testing
0 days 01:19:14.670000,VER,1,11.0,1.0,MEDIUM,11.0,True,0 days 00:01:32.597000,0 days 00:00:29.586000,0 days 00:00:37.463000,0 days 00:00:25.548000,Red Bull Racing,1.0,Pre-Season Testing
0 days 01:20:47.357000,VER,1,12.0,1.0,MEDIUM,12.0,True,0 days 00:01:32.687000,0 days 00:00:29.742000,0 days 00:00:37.389000,0 days 00:00:25.556000,Red Bull Racing,1.0,Pre-Season Testing
0 days 01:22:20.035000,VER,1,13.0,1.0,MEDIUM,13.0,True,0 days 00:01:32.678000,0 days 00:00:29.703000,0 days 00:00:37.319000,0 days 00:00:25.656000,Red Bull Racing,1.0,Pre-Season Testing
0 days 01:23:53.081000,VER,1,14.0,1.0,MEDIUM,14.0,True,0 days 00:01:33.046000,0 days 00:00:30.031000,0 days 00:00:37.422000,0 days 00:00:25.593000,Red Bull Racing,1.0,Pre-Season Testing
0 days 01:25:26.071000,VER,1,15.0,1.0,MEDIUM,15.0,True,0 days 00:01:32.990000,0 days 00:00:29.960000,0 days 00:00:37.469000,0 days 00:00:25.561000,Red Bull Racing,1.0,Pre-Season Testing
0 days 01:26:58.879000,VER,1,16.0,1.0,MEDIUM,16.0,True,0 days 00:01:32.808000,0 days 00:00:29.914000,0 days 00:00:37.373000,0 days 00:00:25.521000,Red Bull Racing,1.0,Pre-Season Testing
0 days 01:28:31.482000,VER,1,17.0,1.0,MEDIUM,17.0,True,0 days 00:01:32.603000,0 days 00:00:29.803000,0 days 00:00:37.276000,0 days 00:00:25.524000,Red Bull Racing,1.0,Pre-Season Testing
