GP,Driver,Stint,Compound,StintLength,AirTemp,TrackTemp
Australian Grand Prix,ALB,1,MEDIUM,6,15.985714285714286,27.26666666666667
Australian Grand Prix,ALO,1,MEDIUM,8,17.1625,30.36875
Australian Grand Prix,ALO,2,HARD,46,17.292063492063495,29.506349206349203
Australian Grand Prix,BOT,1,SOFT,1,15.914285714285715,25.704761904761902
Australian Grand Prix,BOT,2,HARD,6,16.683333333333334,28.37222222222222
Australian Grand Prix,BOT,3,HARD,52,17.182258064516127,28.80322580645161
Australian Grand Prix,DEV,1,HARD,7,16.525641025641026,28.066666666666663
Australian Grand Prix,DEV,2,MEDIUM,37,17.498,30.298000000000002
Australian Grand Prix,DEV,3,SOFT,8,17.38235294117647,29.823529411764707
Australian Grand Prix,GAS,1,SOFT,7,16.66774193548387,28.635483870967743
Australian Grand Prix,GAS,2,HARD,46,17.21060606060606,29.44393939393939
Australian Grand Prix,HAM,1,MEDIUM,7,16.26111111111111,27.405555555555555
Australian Grand Prix,HAM,2,HARD,46,17.25076923076923,29.586153846153845
Australian Grand Prix,HUL,1,MEDIUM,7,16.534615384615385,28.146153846153844
Australian Grand Prix,HUL,2,HARD,46,17.122535211267607,28.956338028169014
Australian Grand Prix,MAG,1,MEDIUM,7,16.423809523809524,28.195238095238096
Australian Grand Prix,MAG,3,HARD,45,17.12121212121212,28.83939393939394
Australian Grand Prix,NOR,1,MEDIUM,7,15.988461538461538,27.03846153846154
Australian Grand Prix,NOR,2,HARD,46,17.390740740740743,29.62777777777778
Australian Grand Prix,OCO,1,SOFT,1,16.396666666666665,27.233333333333334
Australian Grand Prix,OCO,2,HARD,6,16.154166666666665,27.25
Australian Grand Prix,OCO,3,HARD,53,17.50701754385965,30.18421052631579
Australian Grand Prix,PER,1,HARD,1,16.5,27.165
Australian Grand Prix,PER,2,MEDIUM,1,16.275,28.125
Australian Grand Prix,PER,3,HARD,5,16.607692307692307,29.146153846153844
Australian Grand Prix,PER,4,HARD,47,17.72978723404255,30.717021276595744
Australian Grand Prix,PIA,1,MEDIUM,7,16.400000000000002,27.790909090909093
Australian Grand Prix,PIA,2,HARD,46,16.951249999999998,28.222500000000004
Australian Grand Prix,RUS,1,MEDIUM,7,16.433333333333334,27.815151515151513
Australian Grand Prix,RUS,3,HARD,10,16.422727272727272,26.545454545454547
Australian Grand Prix,SAI,1,MEDIUM,7,16.693333333333335,28.46333333333333
Australian Grand Prix,SAI,3,HARD,47,17.412068965517243,30.00344827586207
Australian Grand Prix,SAR,1,HARD,1,16.277272727272727,27.145454545454548
Australian Grand Prix,SAR,2,MEDIUM,1,17.950000000000003,33.8
Australian Grand Prix,SAR,3,HARD,6,15.994736842105265,26.900000000000002
Australian Grand Prix,SAR,4,MEDIUM,28,17.917241379310347,31.803448275862067
Australian Grand Prix,SAR,5,HARD,24,17.804545454545455,30.88181818181818
Australian Grand Prix,STR,1,MEDIUM,8,17.23,30.22
Australian Grand Prix,STR,2,HARD,46,17.276666666666664,29.490000000000002
Australian Grand Prix,TSU,1,MEDIUM,7,16.545714285714286,28.145714285714288
Australian Grand Prix,TSU,2,HARD,46,16.977464788732394,28.343661971830986
Australian Grand Prix,VER,1,MEDIUM,7,16.7,28.695652173913043
Australian Grand Prix,VER,2,HARD,46,17.175757575757576,29.348484848484848
Australian Grand Prix,ZHO,1,SOFT,1,16.103703703703705,26.25925925925926
Australian Grand Prix,ZHO,2,HARD,6,16.47857142857143,28.099999999999998
