Driver,LapNumber,TrackStatus,GP,Year
VER,1.0,1,Pre-Season Testing,2023
VER,2.0,1,Pre-Season Testing,2023
VER,3.0,1,Pre-Season Testing,2023
VER,4.0,1,Pre-Season Testing,2023
VER,5.0,1,Pre-Season Testing,2023
VER,6.0,1,Pre-Season Testing,2023
VER,7.0,1,Pre-Season Testing,2023
VER,8.0,1,Pre-Season Testing,2023
VER,9.0,1,Pre-Season Testing,2023
VER,10.0,1,Pre-Season Testing,2023
VER,11.0,1,Pre-Season Testing,2023
VER,12.0,1,Pre-Season Testing,2023
VER,13.0,1,Pre-Season Testing,2023
VER,14.0,1,Pre-Season Testing,2023
VER,15.0,1,Pre-Season Testing,2023
VER,16.0,1,Pre-Season Testing,2023
VER,17.0,1,Pre-Season Testing,2023
VER,18.0,1,Pre-Season Testing,2023
VER,19.0,1,Pre-Season Testing,2023
VER,20.0,1,Pre-Season Testing,2023
VER,21.0,1,Pre-Season Testing,2023
VER,22.0,1,Pre-Season Testing,2023
VER,23.0,1,Pre-Season Testing,2023
VER,24.0,1,Pre-Season Testing,2023
VER,25.0,1,Pre-Season Testing,2023
VER,26.0,1,Pre-Season Testing,2023
VER,27.0,1,Pre-Season Testing,2023
VER,28.0,1,Pre-Season Testing,2023
VER,29.0,1,Pre-Season Testing,2023
VER,30.0,1,Pre-Season Testing,2023
VER,31.0,1,Pre-Season Testing,2023
VER,32.0,1,Pre-Season Testing,2023
VER,33.0,1264,Pre-Season Testing,2023
VER,34.0,4,Pre-Season Testing,2023
VER,35.0,4,Pre-Season Testing,2023
VER,36.0,4,Pre-Season Testing,2023
VER,37.0,4,Pre-Season Testing,2023
VER,38.0,41,Pre-Season Testing,2023
VER,39.0,1,Pre-Season Testing,2023
VER,40.0,1,Pre-Season Testing,2023
VER,41.0,1,Pre-Season Testing,2023
VER,42.0,1,Pre-Season Testing,2023
VER,43.0,1,Pre-Season Testing,2023
VER,44.0,1,Pre-Season Testing,2023
VER,45.0,1,Pre-Season Testing,2023
VER,46.0,1,Pre-Season Testing,2023
VER,47.0,1,Pre-Season Testing,2023
VER,48.0,1,Pre-Season Testing,2023
VER,49.0,1,Pre-Season Testing,2023
VER,50.0,1,Pre-Season Testing,2023
VER,51.0,1,Pre-Season Testing,2023
