DriverTime,Driver,DriverNumber,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,FreshTyre,Team,Position,WeatherTime,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,GP,SessionType,RoundNumber,Date
0 days 00:29:56.789000,ALB,23,94.884,3,2,30.31,40.899,23.675,MEDIUM,3,0,Williams,,0 days 00:29:45.002000,19.7,39,1016.2,FALSE,34.9,95,2.7,Bahrain Grand Prix,FP1,1,02-03-2024
0 days 00:32:00.971000,ALB,23,124.182,4,2,43.914,52.997,27.271,MEDIUM,4,0,Williams,,0 days 00:31:45.020000,19.6,38,1016,FALSE,35.1,66,2.5,Bahrain Grand Prix,FP1,1,02-03-2024
0 days 00:33:35.868000,ALB,23,94.897,5,2,30.174,40.971,23.752,MEDIUM,5,0,Williams,,0 days 00:32:45.017000,19.5,38,1016.2,FALSE,34.6,86,3,Bahrain Grand Prix,FP1,1,02-03-2024
0 days 00:37:59.421000,ALB,23,122.565,7,2,41.113,55.698,25.754,MEDIUM,7,0,Williams,,0 days 00:37:45.040000,19.4,39,1016,FALSE,34.3,57,3.4,Bahrain Grand Prix,FP1,1,02-03-2024
0 days 00:39:34.241000,ALB,23,94.82,8,2,30.591,40.742,23.487,MEDIUM,8,0,Williams,,0 days 00:38:45.027000,19.4,40,1016.1,FALSE,34.4,58,3.7,Bahrain Grand Prix,FP1,1,02-03-2024
0 days 00:41:22.157000,ALB,23,107.916,9,2,34.777,45.752,27.387,MEDIUM,9,0,Williams,,0 days 00:40:45.034000,19.3,40,1016,FALSE,34.3,58,3.7,Bahrain Grand Prix,FP1,1,02-03-2024
0 days 00:57:37.759000,ALB,23,93.583,11,3,29.957,40.222,23.404,MEDIUM,2,1,Williams,,0 days 00:56:45.121000,19.4,38,1016,FALSE,33.8,54,2.9,Bahrain Grand Prix,FP1,1,02-03-2024
0 days 01:01:40.075000,ALB,23,95.267,13,3,29.996,42.036,23.235,MEDIUM,4,1,Williams,,0 days 01:00:45.125000,19.3,39,1016.2,FALSE,33.4,64,3.4,Bahrain Grand Prix,FP1,1,02-03-2024
0 days 01:03:49.320000,ALB,23,129.245,14,3,39.961,57.832,31.452,MEDIUM,5,1,Williams,,0 days 01:03:45.123000,19.1,39,1016.1,FALSE,33.2,47,2.8,Bahrain Grand Prix,FP1,1,02-03-2024
0 days 01:05:58.311000,ALB,23,128.991,15,3,45.522,58.656,24.813,MEDIUM,6,1,Williams,,0 days 01:05:45.130000,19.1,39,1016.1,FALSE,32.9,66,3.7,Bahrain Grand Prix,FP1,1,02-03-2024
0 days 01:07:32.647000,ALB,23,94.336,16,3,30.3,40.538,23.498,MEDIUM,7,1,Williams,,0 days 01:06:45.134000,19,40,1016.1,FALSE,32.8,69,3.8,Bahrain Grand Prix,FP1,1,02-03-2024
0 days 01:09:30.701000,ALB,23,118.054,17,3,35.818,50.253,31.983,MEDIUM,8,1,Williams,,0 days 01:08:45.130000,19.1,39,1016.2,FALSE,32.8,88,4.1,Bahrain Grand Prix,FP1,1,02-03-2024
0 days 00:18:47.487000,ALB,23,92.414,2,1,29.741,39.646,23.027,MEDIUM,2,1,Williams,,0 days 00:18:44.749000,17.2,40,1017.2,FALSE,22.7,82,2.6,Bahrain Grand Prix,FP2,1,02-03-2024
0 days 00:20:49.824000,ALB,23,122.337,3,1,42.889,49.942,29.506,MEDIUM,3,1,Williams,,0 days 00:20:44.758000,17.2,41,1017.2,FALSE,22.7,82,2,Bahrain Grand Prix,FP2,1,02-03-2024
0 days 00:33:15.986000,ALB,23,91.715,5,2,29.61,39.15,22.955,SOFT,2,1,Williams,,0 days 00:32:44.762000,17.2,41,1017.2,FALSE,22.3,134,1.9,Bahrain Grand Prix,FP2,1,02-03-2024
0 days 00:37:41.912000,ALB,23,123.811,7,2,40.562,57.093,26.156,SOFT,4,1,Williams,,0 days 00:36:44.761000,17.3,39,1017.1,FALSE,22.2,89,2.6,Bahrain Grand Prix,FP2,1,02-03-2024
0 days 00:39:13.831000,ALB,23,91.919,8,2,29.631,39.36,22.928,SOFT,5,1,Williams,,0 days 00:38:44.763000,17.2,39,1017.1,FALSE,22.1,99,3.2,Bahrain Grand Prix,FP2,1,02-03-2024
0 days 00:40:57.590000,ALB,23,103.759,9,2,32.59,44.132,27.037,SOFT,6,1,Williams,,0 days 00:40:44.753000,17.2,38,1017.3,FALSE,22,95,2.6,Bahrain Grand Prix,FP2,1,02-03-2024
0 days 00:46:46.058000,ALB,23,91.333,11,3,29.341,39.097,22.895,SOFT,2,1,Williams,,0 days 00:46:44.766000,17.2,36,1017.3,FALSE,21.9,68,2.2,Bahrain Grand Prix,FP2,1,02-03-2024
