Time,Driver,DriverNumber,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,FreshTyre,Team,Position,RoundNumber,GP,Session,Date
0 days 00:29:56.789000,ALB,23,0.4067918402107813,3,2.0,0.20361787793644814,0.3724973573355632,0.10141321252282104,MEDIUM,0.038461538461538464,0,Williams,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:32:00.971000,ALB,23,0.7966573074824683,4,2.0,0.400645946180807,0.563368726630169,0.150043951585638,MEDIUM,0.05128205128205128,0,Williams,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:33:35.868000,ALB,23,0.40696482987132243,5,2.0,0.20164817657793355,0.37363330861587485,0.1024545270133207,MEDIUM,0.0641025641025641,0,Williams,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:37:59.421000,ALB,23,0.7751400550905536,7,2.0,0.3600787880543406,0.6059826767429753,0.1295287037663128,MEDIUM,0.08974358974358974,0,Williams,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:39:34.241000,ALB,23,0.4059401988050406,8,2.0,0.20768762853749678,0.37002035246043896,0.09887078233822433,MEDIUM,0.10256410256410256,0,Williams,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:41:22.157000,ALB,23,0.5802073214547101,9,2.0,0.26831387770471865,0.4490636290487987,0.1516126851037934,MEDIUM,0.11538461538461538,0,Williams,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:57:37.759000,ALB,23,0.3894795672597109,11,3.0,0.1985053442632448,0.36181625988040966,0.09774832645885456,MEDIUM,0.02564102564102564,1,Williams,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 01:01:40.075000,ALB,23,0.41188838174826015,13,3.0,0.19907018509399527,0.39043592130381966,0.09546284400567989,MEDIUM,0.05128205128205128,1,Williams,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 01:03:49.320000,ALB,23,0.8640301268147283,14,3.0,0.3433942588998638,0.6396510105233265,0.20658597606329032,MEDIUM,0.0641025641025641,1,Williams,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 01:05:58.311000,ALB,23,0.8606501749856954,15,3.0,0.42393476812559744,0.6526513418424499,0.11680302927851782,MEDIUM,0.07692307692307693,1,Williams,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 01:07:32.647000,ALB,23,0.39949966067412745,16,3.0,0.20347304695420443,0.36680182383288895,0.09901954155115289,MEDIUM,0.08974358974358974,1,Williams,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 01:09:30.701000,ALB,23,0.7151126428828063,17,3.0,0.28339078295629,0.5200763611693988,0.21376698897829471,MEDIUM,0.10256410256410256,1,Williams,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:26:53.789000,ALO,14,0.6849326005668739,3,2.0,0.2630565130492715,0.5910417619866526,0.14125363445804312,MEDIUM,0.038461538461538464,0,Aston Martin,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:28:28.196000,ALO,14,0.40044445035862086,4,2.0,0.19889638791530284,0.37428016976160805,0.09784299141253638,MEDIUM,0.05128205128205128,0,Aston Martin,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:32:30.234000,ALO,14,0.3940837536094959,6,2.0,0.19673840627987138,0.36542921603584566,0.10098045844884712,MEDIUM,0.07692307692307693,0,Aston Martin,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:34:26.227000,ALO,14,0.6876871282385661,7,2.0,0.26247718912029666,0.5197608191470899,0.20569342078571912,MEDIUM,0.08974358974358974,0,Aston Martin,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:51:23.458000,ALO,14,0.39767661578996405,9,3.0,0.2017640413637285,0.36553965574365366,0.09984447900466564,MEDIUM,0.11538461538461538,0,Aston Martin,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:53:38.629000,ALO,14,0.9428867982275213,10,3.0,0.3718535469107552,0.6659198838805358,0.23763608087091753,MEDIUM,0.1282051282051282,0,Aston Martin,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:55:25.650000,ALO,14,0.5682976486713065,11,3.0,0.21756510152651853,0.4248457788365966,0.20765433768341335,MEDIUM,0.14102564102564102,0,Aston Martin,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 01:05:29.188000,ALO,14,0.3842898774434791,13,4.0,0.19756394287866058,0.3570515753435465,0.09743728446818584,MEDIUM,0.02564102564102564,1,Aston Martin,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 01:09:34.508000,ALO,14,0.3914090673195918,15,4.0,0.2004315963270863,0.3613587239480618,0.09830279261613362,MEDIUM,0.05128205128205128,1,Aston Martin,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 01:14:10.429000,ALO,14,0.7784800862286925,17,4.0,0.3960837702401297,0.5519461054225897,0.1456217458922172,MEDIUM,0.07692307692307693,1,Aston Martin,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 01:15:44.358000,ALO,14,0.3940837536094959,18,4.0,0.1997943400052139,0.3631415363741066,0.10008790317127597,MEDIUM,0.08974358974358974,1,Aston Martin,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 01:17:39.593000,ALO,14,0.677600500339326,19,4.0,0.27391883671755063,0.46618178375905217,0.23068496855771187,MEDIUM,0.10256410256410256,1,Aston Martin,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:29:46.393000,BOT,77,0.414363464583694,3,2.0,0.2116559974509747,0.37240269472887055,0.10168368381905474,MEDIUM,0.038461538461538464,0,Kick Sauber,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:31:54.951000,BOT,77,0.8548882885999813,4,2.0,0.34484256872230107,0.6745972894940284,0.16598823449861383,MEDIUM,0.05128205128205128,0,Kick Sauber,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:33:29.858000,BOT,77,0.40709789884096925,5,2.0,0.2039654722938331,0.3700361295615544,0.10350936506863206,MEDIUM,0.0641025641025641,0,Kick Sauber,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:35:40.300000,BOT,77,0.8799584824814703,6,2.0,0.3635836978246387,0.6992726756385782,0.15281628237203326,MEDIUM,0.07692307692307693,0,Kick Sauber,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:37:15.893000,BOT,77,0.4162264301587515,7,2.0,0.20899110737769028,0.3694997081236294,0.10855365474339035,MEDIUM,0.08974358974358974,0,Kick Sauber,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:39:15.259000,BOT,77,0.7325712917004885,8,2.0,0.3422211279436898,0.49701023933862387,0.19634863750084525,MEDIUM,0.10256410256410256,0,Kick Sauber,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:51:59.035000,BOT,77,0.3864322878547952,11,4.0,0.20098195405961244,0.35776154489374135,0.0958144566907837,SOFT,0.02564102564102564,1,Kick Sauber,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:54:16.252000,BOT,77,0.9701127094172912,12,4.0,0.35098340236943487,0.6992095672341164,0.25625802961660693,SOFT,0.038461538461538464,1,Kick Sauber,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:56:31.227000,BOT,77,0.9402786464224409,13,4.0,0.4291486834863714,0.6960541470110282,0.155656230982487,SOFT,0.05128205128205128,1,Kick Sauber,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:58:04.855000,BOT,77,0.39007837762312225,14,4.0,0.1996350259247458,0.3585819541517442,0.10007437960646426,SOFT,0.0641025641025641,1,Kick Sauber,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 01:00:01.866000,BOT,77,0.7012335493486275,15,4.0,0.26680763548938397,0.5735922881529749,0.16927446074785318,SOFT,0.07692307692307693,1,Kick Sauber,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 01:12:49.491000,BOT,77,0.3910098604106509,17,5.0,0.19950467804072647,0.3606803086000978,0.09934410710663333,SOFT,0.10256410256410256,0,Kick Sauber,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 01:14:42.771000,BOT,77,0.6515855167733438,18,5.0,0.2844190829302205,0.5216856254831738,0.14686591385489217,SOFT,0.11538461538461538,0,Kick Sauber,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 01:16:16.627000,BOT,77,0.39311235013107293,19,5.0,0.200460562523535,0.36109051322909935,0.10023666238420448,SOFT,0.1282051282051282,0,Kick Sauber,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 01:18:17.754000,BOT,77,0.7560047372553196,20,5.0,0.29305100947194623,0.5161005316883076,0.2497126242477517,SOFT,0.14102564102564102,0,Kick Sauber,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:19:21.488000,GAS,10,0.4240774993679226,2,1.0,0.21127943689714102,0.3783822160516227,0.1067820677530597,MEDIUM,0.02564102564102564,1,Alpine,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:21:37.962000,GAS,10,0.9602256849725213,3,1.0,0.46124322915158017,0.6791410946152755,0.16045709649063494,MEDIUM,0.038461538461538464,1,Alpine,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:23:13.846000,GAS,10,0.4200987371754783,4,1.0,0.2090055904759146,0.3794235047252418,0.10396916627222941,MEDIUM,0.05128205128205128,1,Alpine,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:27:21.208000,GAS,10,0.4194733130181374,6,1.0,0.206413115893752,0.3762207531988072,0.10849956048414366,MEDIUM,0.07692307692307693,1,Alpine,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:29:23.963000,GAS,10,0.7776683655138459,7,1.0,0.3066216725081829,0.5753751005790197,0.20824937453512748,MEDIUM,0.08974358974358974,1,Alpine,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:31:42.545000,GAS,10,0.9882766237741021,8,2.0,0.7651420791935812,0.390909234337283,0.1522618162147542,MEDIUM,0.10256410256410256,0,Alpine,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:46:32.929000,GAS,10,0.4243968648950751,10,3.0,0.21098977493265358,0.3824211539371756,0.10391507201298261,MEDIUM,0.02564102564102564,1,Alpine,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:48:46.578000,GAS,10,0.922633701047253,11,3.0,0.440184804333343,0.6759383430888409,0.1446615727905876,MEDIUM,0.038461538461538464,1,Alpine,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:50:21.722000,GAS,10,0.41025163342160265,12,3.0,0.20658691307244448,0.3701150150671315,0.10419906687402802,MEDIUM,0.05128205128205128,1,Alpine,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:54:17.481000,GAS,10,0.41073068171233174,14,3.0,0.20813660458245226,0.37103008693182715,0.1024545270133207,MEDIUM,0.07692307692307693,1,Alpine,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 00:56:20.032000,GAS,10,0.7749537585330479,15,3.0,0.29664281783159047,0.5991511919599893,0.1944282912975861,MEDIUM,0.08974358974358974,1,Alpine,,1,Bahrain Grand Prix,FP1,02-03-2024
0 days 01:07:40.566000,GAS,10,0.4799930804135786,17,4.0,0.23356892506444982,0.40933688844011806,0.11626208668605048,MEDIUM,0.11538461538461538,0,Alpine,,1,Bahrain Grand Prix,FP1,02-03-2024
