GP,Driver,Stint,Compound,StintLength,FreshTyre
Abu Dhabi Grand Prix,ALB,1,MEDIUM,12,1
Abu Dhabi Grand Prix,ALB,2,HARD,45,1
Abu Dhabi Grand Prix,ALO,1,MEDIUM,14,0
Abu Dhabi Grand Prix,ALO,2,HARD,25,0
Abu Dhabi Grand Prix,ALO,3,HARD,22,0
Abu Dhabi Grand Prix,BOT,1,MEDIUM,6,1
Abu Dhabi Grand Prix,BOT,2,HARD,23,1
Abu Dhabi Grand Prix,COL,1,MEDIUM,3,1
Abu Dhabi Grand Prix,COL,2,HARD,23,1
Abu Dhabi Grand Prix,DOO,1,MEDIUM,22,1
Abu Dhabi Grand Prix,DOO,2,HARD,35,1
Abu Dhabi Grand Prix,GAS,1,MEDIUM,14,1
Abu Dhabi Grand Prix,GAS,2,HARD,44,1
Abu Dhabi Grand Prix,HAM,1,HARD,34,1
Abu Dhabi Grand Prix,HAM,2,MEDIUM,25,0
Abu Dhabi Grand Prix,HUL,1,MEDIUM,13,1
Abu Dhabi Grand Prix,HUL,2,HARD,45,1
Abu Dhabi Grand Prix,LAW,1,MEDIUM,23,1
Abu Dhabi Grand Prix,LAW,2,HARD,1,1
Abu Dhabi Grand Prix,LAW,3,HARD,6,0
Abu Dhabi Grand Prix,LAW,4,HARD,32,0
Abu Dhabi Grand Prix,LEC,1,MEDIUM,20,1
Abu Dhabi Grand Prix,LEC,2,HARD,38,1
Abu Dhabi Grand Prix,MAG,1,MEDIUM,12,1
Abu Dhabi Grand Prix,MAG,2,HARD,17,1
Abu Dhabi Grand Prix,MAG,3,HARD,1,1
Abu Dhabi Grand Prix,MAG,4,SOFT,25,1
Abu Dhabi Grand Prix,MAG,5,SOFT,5,0
Abu Dhabi Grand Prix,NOR,1,MEDIUM,26,1
Abu Dhabi Grand Prix,NOR,2,HARD,32,1
Abu Dhabi Grand Prix,PIA,1,MEDIUM,4,1
Abu Dhabi Grand Prix,PIA,2,HARD,28,1
Abu Dhabi Grand Prix,PIA,3,HARD,26,1
Abu Dhabi Grand Prix,RUS,1,MEDIUM,27,0
Abu Dhabi Grand Prix,RUS,2,HARD,32,1
Abu Dhabi Grand Prix,SAI,1,MEDIUM,25,1
Abu Dhabi Grand Prix,SAI,2,HARD,33,1
Abu Dhabi Grand Prix,STR,1,MEDIUM,12,0
Abu Dhabi Grand Prix,STR,2,HARD,22,0
Abu Dhabi Grand Prix,STR,3,HARD,25,0
Abu Dhabi Grand Prix,TSU,1,MEDIUM,22,1
Abu Dhabi Grand Prix,TSU,2,HARD,35,1
Abu Dhabi Grand Prix,VER,1,MEDIUM,29,1
Abu Dhabi Grand Prix,VER,2,HARD,29,1
Abu Dhabi Grand Prix,ZHO,1,MEDIUM,12,1
Abu Dhabi Grand Prix,ZHO,2,HARD,27,1
Abu Dhabi Grand Prix,ZHO,3,HARD,18,1
Australian Grand Prix,ALB,1,MEDIUM,6,1
Australian Grand Prix,ALB,2,HARD,21,1
Australian Grand Prix,ALB,3,HARD,30,1
Australian Grand Prix,ALO,1,HARD,18,0
Australian Grand Prix,ALO,2,MEDIUM,25,0
Australian Grand Prix,ALO,3,HARD,18,0
Australian Grand Prix,BOT,1,MEDIUM,9,0
Australian Grand Prix,BOT,2,HARD,29,0
Australian Grand Prix,BOT,3,HARD,21,1
Australian Grand Prix,GAS,1,MEDIUM,17,1
Australian Grand Prix,GAS,2,HARD,24,1
Australian Grand Prix,GAS,3,HARD,16,1
Australian Grand Prix,HAM,1,SOFT,7,1
Australian Grand Prix,HAM,2,HARD,8,1
Australian Grand Prix,HUL,1,HARD,17,1
Australian Grand Prix,HUL,2,MEDIUM,18,1
Australian Grand Prix,HUL,3,HARD,23,1
Australian Grand Prix,LEC,1,MEDIUM,9,1
Australian Grand Prix,LEC,2,HARD,25,1
Australian Grand Prix,LEC,3,HARD,24,1
Australian Grand Prix,MAG,1,MEDIUM,7,1
Australian Grand Prix,MAG,2,HARD,26,1
Australian Grand Prix,MAG,3,HARD,24,1
Australian Grand Prix,NOR,1,MEDIUM,14,1
Australian Grand Prix,NOR,2,HARD,27,0
Australian Grand Prix,NOR,3,HARD,19,0
Australian Grand Prix,OCO,1,MEDIUM,9,1
Australian Grand Prix,OCO,2,HARD,7,1
Australian Grand Prix,OCO,3,HARD,26,1
Australian Grand Prix,OCO,4,HARD,22,0
Australian Grand Prix,PER,1,MEDIUM,14,1
Australian Grand Prix,PER,2,HARD,21,1
