GP,Driver,Stint,YellowLaps,SCLaps,VSCLaps,RedFlagLaps
Abu Dhabi Grand Prix,ALB,1.0,3,0,2,0
Abu Dhabi Grand Prix,ALB,2.0,2,0,0,0
Abu Dhabi Grand Prix,ALB,3.0,0,0,0,0
Abu Dhabi Grand Prix,ALB,4.0,0,0,0,0
Abu Dhabi Grand Prix,ALB,5.0,0,0,0,0
Abu Dhabi Grand Prix,ALB,6.0,0,0,0,0
Abu Dhabi Grand Prix,ALO,1.0,3,0,2,0
Abu Dhabi Grand Prix,ALO,2.0,2,0,0,0
Abu Dhabi Grand Prix,ALO,3.0,3,0,0,0
Abu Dhabi Grand Prix,ALO,4.0,1,0,0,0
Abu Dhabi Grand Prix,ALO,5.0,0,0,0,0
Abu Dhabi Grand Prix,ALO,6.0,1,0,0,0
Abu Dhabi Grand Prix,ALO,7.0,0,0,0,0
Abu Dhabi Grand Prix,BOT,1.0,5,0,2,0
Abu Dhabi Grand Prix,BOT,2.0,2,0,0,0
Abu Dhabi Grand Prix,BOT,3.0,1,0,0,0
Abu Dhabi Grand Prix,BOT,4.0,1,0,0,0
Abu Dhabi Grand Prix,BOT,5.0,1,0,0,0
Abu Dhabi Grand Prix,BRO,1.0,1,0,0,0
Abu Dhabi Grand Prix,BRO,2.0,1,0,0,0
Abu Dhabi Grand Prix,BRO,3.0,0,0,0,0
Abu Dhabi Grand Prix,COL,1.0,4,0,2,0
Abu Dhabi Grand Prix,COL,2.0,1,0,0,0
Abu Dhabi Grand Prix,COL,3.0,1,0,0,0
Abu Dhabi Grand Prix,COL,4.0,0,0,0,0
Abu Dhabi Grand Prix,COL,5.0,0,0,0,0
Abu Dhabi Grand Prix,DOO,1.0,3,0,2,0
Abu Dhabi Grand Prix,DOO,2.0,5,0,0,0
Abu Dhabi Grand Prix,DOO,3.0,1,0,0,0
Abu Dhabi Grand Prix,DOO,4.0,0,0,0,0
Abu Dhabi Grand Prix,DOO,5.0,0,0,0,0
Abu Dhabi Grand Prix,DRU,1.0,0,0,0,0
Abu Dhabi Grand Prix,DRU,2.0,1,0,0,0
Abu Dhabi Grand Prix,DRU,3.0,1,0,0,0
Abu Dhabi Grand Prix,DRU,4.0,0,0,0,0
Abu Dhabi Grand Prix,GAS,1.0,3,0,2,0
Abu Dhabi Grand Prix,GAS,2.0,5,0,0,0
Abu Dhabi Grand Prix,GAS,3.0,1,0,0,0
Abu Dhabi Grand Prix,GAS,4.0,0,0,0,0
Abu Dhabi Grand Prix,GAS,5.0,1,0,0,0
Abu Dhabi Grand Prix,GAS,6.0,0,0,0,0
Abu Dhabi Grand Prix,HAD,1.0,1,0,0,0
Abu Dhabi Grand Prix,HAD,2.0,1,0,0,0
Abu Dhabi Grand Prix,HAD,3.0,0,0,0,0
Abu Dhabi Grand Prix,HAM,1.0,5,0,2,0
Abu Dhabi Grand Prix,HAM,2.0,2,0,0,0
Abu Dhabi Grand Prix,HAM,3.0,2,0,0,0
Abu Dhabi Grand Prix,HAM,4.0,0,0,0,0
Abu Dhabi Grand Prix,HAM,5.0,0,0,0,0
Abu Dhabi Grand Prix,HIR,1.0,0,0,0,0
Abu Dhabi Grand Prix,HIR,2.0,1,0,0,0
Abu Dhabi Grand Prix,HIR,3.0,0,0,0,0
Abu Dhabi Grand Prix,HIR,4.0,0,0,0,0
Abu Dhabi Grand Prix,HIR,5.0,0,0,0,0
