Time,Status,Message,GP,Year
0 days 00:00:00,2,Yellow,Pre-Season Testing,2024
0 days 00:00:03.251000,1,AllClear,Pre-Season Testing,2024
0 days 00:00:09.253000,2,Yellow,Pre-Season Testing,2024
0 days 00:00:25.453000,1,AllClear,Pre-Season Testing,2024
0 days 00:10:06.010000,1,AllClear,Bahrain Grand Prix,2024
0 days 01:00:16.400000,2,Yellow,Bahrain Grand Prix,2024
0 days 01:00:20.890000,1,AllClear,Bahrain Grand Prix,2024
0 days 01:00:46.461000,2,Yellow,Bahrain Grand Prix,2024
0 days 01:00:53.481000,1,AllClear,Bahrain Grand Prix,2024
0 days 01:15:24.819000,2,Yellow,Bahrain Grand Prix,2024
0 days 01:16:15.962000,1,AllClear,Bahrain Grand Prix,2024
0 days 00:00:00,2,Yellow,Saudi Arabian Grand Prix,2024
0 days 00:08:45.692000,1,AllClear,Saudi Arabian Grand Prix,2024
0 days 01:09:15.917000,2,Yellow,Saudi Arabian Grand Prix,2024
0 days 01:09:49.924000,4,SCDeployed,Saudi Arabian Grand Prix,2024
0 days 01:16:35.527000,1,AllClear,Saudi Arabian Grand Prix,2024
0 days 00:00:00,1,AllClear,Australian Grand Prix,2024
0 days 00:00:13.560000,2,Yellow,Australian Grand Prix,2024
0 days 00:05:52.010000,1,AllClear,Australian Grand Prix,2024
0 days 01:21:24.717000,2,Yellow,Australian Grand Prix,2024
0 days 01:21:41.517000,6,VSCDeployed,Australian Grand Prix,2024
0 days 01:22:45.787000,7,VSCEnding,Australian Grand Prix,2024
0 days 01:23:00.690000,1,AllClear,Australian Grand Prix,2024
0 days 02:17:08.699000,2,Yellow,Australian Grand Prix,2024
0 days 02:17:19.578000,6,VSCDeployed,Australian Grand Prix,2024
0 days 00:02:10.211000,1,AllClear,Japanese Grand Prix,2024
0 days 01:03:04.009000,2,Yellow,Japanese Grand Prix,2024
0 days 01:03:23.324000,5,Red,Japanese Grand Prix,2024
0 days 01:21:29.956000,1,AllClear,Japanese Grand Prix,2024
0 days 02:38:44.466000,2,Yellow,Japanese Grand Prix,2024
0 days 02:39:26.728000,1,AllClear,Japanese Grand Prix,2024
0 days 00:00:00,2,Yellow,Chinese Grand Prix,2024
0 days 00:03:43.861000,1,AllClear,Chinese Grand Prix,2024
0 days 01:29:21.060000,2,Yellow,Chinese Grand Prix,2024
0 days 01:30:57.310000,6,VSCDeployed,Chinese Grand Prix,2024
0 days 01:35:02.945000,4,SCDeployed,Chinese Grand Prix,2024
0 days 01:42:46.489000,1,AllClear,Chinese Grand Prix,2024
0 days 01:44:08.986000,2,Yellow,Chinese Grand Prix,2024
0 days 01:44:43.584000,4,SCDeployed,Chinese Grand Prix,2024
0 days 01:54:29.620000,1,AllClear,Chinese Grand Prix,2024
0 days 00:00:00,1,AllClear,Miami Grand Prix,2024
0 days 01:30:16.624000,6,VSCDeployed,Miami Grand Prix,2024
0 days 01:30:57.133000,7,VSCEnding,Miami Grand Prix,2024
0 days 01:31:08.221000,1,AllClear,Miami Grand Prix,2024
0 days 01:38:59.677000,2,Yellow,Miami Grand Prix,2024
0 days 01:39:25.207000,4,SCDeployed,Miami Grand Prix,2024
0 days 01:48:20.615000,1,AllClear,Miami Grand Prix,2024
0 days 00:14:54.798000,1,AllClear,Emilia Romagna Grand Prix,2024
0 days 00:25:18.219000,2,Yellow,Emilia Romagna Grand Prix,2024
0 days 00:25:20.767000,1,AllClear,Emilia Romagna Grand Prix,2024
0 days 00:25:24.863000,2,Yellow,Emilia Romagna Grand Prix,2024
0 days 00:25:28.047000,1,AllClear,Emilia Romagna Grand Prix,2024
0 days 00:26:02.940000,2,Yellow,Emilia Romagna Grand Prix,2024
0 days 00:26:05.527000,1,AllClear,Emilia Romagna Grand Prix,2024
0 days 00:00:48.957000,1,AllClear,Monaco Grand Prix,2024
0 days 00:23:00.042000,2,Yellow,Monaco Grand Prix,2024
0 days 00:23:28.942000,1,AllClear,Monaco Grand Prix,2024
