Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,RoundNumber,EventName,Session,Date
0 days 00:00:44.686000,0.5104602510460252,0.4444444444444444,0.9855132450331126,False,0.6594202898550723,0.0,0.0,1,Australian Grand Prix,FP1,2025-03-16
0 days 00:01:44.676000,0.5188284518828453,0.4691358024691358,0.9855132450331126,False,0.6570048309178744,0.013927576601671309,0.04225352112676056,1,Australian Grand Prix,FP1,2025-03-16
0 days 00:02:44.701000,0.5188284518828453,0.4814814814814814,0.9850993377483444,False,0.6618357487922706,0.0,0.07042253521126761,1,Australian Grand Prix,FP1,2025-03-16
0 days 00:03:44.690000,0.5188284518828453,0.4814814814814814,0.9850993377483444,False,0.6787439613526569,0.7437325905292479,0.05633802816901409,1,Australian Grand Prix,FP1,2025-03-16
0 days 00:04:44.699000,0.5230125523012553,0.4691358024691358,0.9855132450331126,False,0.6787439613526569,0.0,0.14084507042253522,1,Australian Grand Prix,FP1,2025-03-16
0 days 00:05:44.702000,0.5230125523012553,0.4814814814814814,0.9850993377483444,False,0.6787439613526569,0.5041782729805014,0.07042253521126761,1,Australian Grand Prix,FP1,2025-03-16
0 days 00:06:44.701000,0.5271966527196653,0.4691358024691358,0.9850993377483444,False,0.6787439613526569,0.2200557103064067,0.08450704225352113,1,Australian Grand Prix,FP1,2025-03-16
0 days 00:07:44.701000,0.5313807531380753,0.4444444444444444,0.9846854304635762,False,0.6811594202898552,0.8272980501392758,0.05633802816901409,1,Australian Grand Prix,FP1,2025-03-16
0 days 00:08:44.693000,0.5313807531380753,0.4444444444444444,0.9846854304635762,False,0.6690821256038648,0.7047353760445683,0.07042253521126761,1,Australian Grand Prix,FP1,2025-03-16
0 days 00:09:44.703000,0.5271966527196653,0.4444444444444444,0.984271523178808,False,0.6642512077294687,0.027855153203342618,0.14084507042253522,1,Australian Grand Prix,FP1,2025-03-16
0 days 00:10:44.719000,0.5271966527196653,0.4444444444444444,0.9846854304635762,False,0.6666666666666667,0.6545961002785515,0.1267605633802817,1,Australian Grand Prix,FP1,2025-03-16
0 days 00:11:44.739000,0.5271966527196653,0.4814814814814814,0.9846854304635762,False,0.6763285024154588,0.5459610027855153,0.2535211267605634,1,Australian Grand Prix,FP1,2025-03-16
0 days 00:12:44.727000,0.5230125523012553,0.4691358024691358,0.9846854304635762,False,0.6811594202898552,0.0,0.09859154929577464,1,Australian Grand Prix,FP1,2025-03-16
0 days 00:13:44.747000,0.5313807531380753,0.45679012345679015,0.9846854304635762,False,0.6835748792270531,0.6295264623955432,0.07042253521126761,1,Australian Grand Prix,FP1,2025-03-16
0 days 00:14:44.782000,0.5355648535564853,0.4691358024691358,0.9846854304635762,False,0.6787439613526569,0.0,0.0,1,Australian Grand Prix,FP1,2025-03-16
0 days 00:15:44.766000,0.5397489539748955,0.4691358024691358,0.9846854304635762,False,0.6763285024154588,0.3593314763231198,0.11267605633802819,1,Australian Grand Prix,FP1,2025-03-16
0 days 00:16:44.768000,0.5397489539748955,0.4691358024691358,0.9846854304635762,False,0.6859903381642511,0.7409470752089137,0.15492957746478875,1,Australian Grand Prix,FP1,2025-03-16
0 days 00:17:44.769000,0.5439330543933055,0.4691358024691358,0.9846854304635762,False,0.6859903381642511,0.0,0.14084507042253522,1,Australian Grand Prix,FP1,2025-03-16
0 days 00:18:44.792000,0.5481171548117155,0.4691358024691358,0.9846854304635762,False,0.6932367149758454,0.6768802228412256,0.05633802816901409,1,Australian Grand Prix,FP1,2025-03-16
0 days 00:19:44.820000,0.5439330543933055,0.4444444444444444,0.9846854304635762,False,0.7101449275362319,0.5598885793871866,0.09859154929577464,1,Australian Grand Prix,FP1,2025-03-16
0 days 00:20:44.793000,0.5397489539748955,0.41975308641975306,0.9850993377483444,False,0.71256038647343,0.467966573816156,0.04225352112676056,1,Australian Grand Prix,FP1,2025-03-16
