Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,RoundNumber,EventName,Session,Date
0 days 00:00:44.686000,23.8,48.0,1018.4,False,39.3,0.0,0.0,1,Australian Grand Prix,FP1,2025-03-16
0 days 00:01:44.676000,24.0,50.0,1018.4,False,39.2,5.0,0.3,1,Australian Grand Prix,FP1,2025-03-16
0 days 00:02:44.701000,24.0,51.0,1018.3,False,39.4,0.0,0.5,1,Australian Grand Prix,FP1,2025-03-16
0 days 00:03:44.690000,24.0,51.0,1018.3,False,40.1,267.0,0.4,1,Australian Grand Prix,FP1,2025-03-16
0 days 00:04:44.699000,24.1,50.0,1018.4,False,40.1,0.0,1.0,1,Australian Grand Prix,FP1,2025-03-16
0 days 00:05:44.702000,24.1,51.0,1018.3,False,40.1,181.0,0.5,1,Australian Grand Prix,FP1,2025-03-16
0 days 00:06:44.701000,24.2,50.0,1018.3,False,40.1,79.0,0.6,1,Australian Grand Prix,FP1,2025-03-16
0 days 00:07:44.701000,24.3,48.0,1018.2,False,40.2,297.0,0.4,1,Australian Grand Prix,FP1,2025-03-16
0 days 00:08:44.693000,24.3,48.0,1018.2,False,39.7,253.0,0.5,1,Australian Grand Prix,FP1,2025-03-16
0 days 00:09:44.703000,24.2,48.0,1018.1,False,39.5,10.0,1.0,1,Australian Grand Prix,FP1,2025-03-16
0 days 00:10:44.719000,24.2,48.0,1018.2,False,39.6,235.0,0.9,1,Australian Grand Prix,FP1,2025-03-16
0 days 00:11:44.739000,24.2,51.0,1018.2,False,40.0,196.0,1.8,1,Australian Grand Prix,FP1,2025-03-16
0 days 00:12:44.727000,24.1,50.0,1018.2,False,40.2,0.0,0.7,1,Australian Grand Prix,FP1,2025-03-16
0 days 00:13:44.747000,24.3,49.0,1018.2,False,40.3,226.0,0.5,1,Australian Grand Prix,FP1,2025-03-16
0 days 00:14:44.782000,24.4,50.0,1018.2,False,40.1,0.0,0.0,1,Australian Grand Prix,FP1,2025-03-16
0 days 00:15:44.766000,24.5,50.0,1018.2,False,40.0,129.0,0.8,1,Australian Grand Prix,FP1,2025-03-16
0 days 00:16:44.768000,24.5,50.0,1018.2,False,40.4,266.0,1.1,1,Australian Grand Prix,FP1,2025-03-16
0 days 00:17:44.769000,24.6,50.0,1018.2,False,40.4,0.0,1.0,1,Australian Grand Prix,FP1,2025-03-16
0 days 00:18:44.792000,24.7,50.0,1018.2,False,40.7,243.0,0.4,1,Australian Grand Prix,FP1,2025-03-16
0 days 00:19:44.820000,24.6,48.0,1018.2,False,41.4,201.0,0.7,1,Australian Grand Prix,FP1,2025-03-16
0 days 00:20:44.793000,24.5,46.0,1018.3,False,41.5,168.0,0.3,1,Australian Grand Prix,FP1,2025-03-16
0 days 00:21:44.771000,24.5,47.0,1018.3,False,41.4,157.0,0.9,1,Australian Grand Prix,FP1,2025-03-16
0 days 00:22:44.795000,24.5,47.0,1018.4,False,41.2,219.0,1.1,1,Australian Grand Prix,FP1,2025-03-16
0 days 00:23:44.786000,24.5,46.0,1018.2,False,41.4,278.0,0.6,1,Australian Grand Prix,FP1,2025-03-16
0 days 00:24:44.785000,24.7,45.0,1018.2,False,41.2,126.0,0.0,1,Australian Grand Prix,FP1,2025-03-16
0 days 00:25:44.784000,24.8,45.0,1018.3,False,41.4,96.0,0.7,1,Australian Grand Prix,FP1,2025-03-16
0 days 00:26:44.813000,24.8,45.0,1018.0,False,41.6,121.0,1.0,1,Australian Grand Prix,FP1,2025-03-16
0 days 00:27:44.847000,24.8,46.0,1018.2,False,41.3,185.0,0.8,1,Australian Grand Prix,FP1,2025-03-16
0 days 00:28:44.826000,24.8,46.0,1018.3,False,41.3,0.0,1.0,1,Australian Grand Prix,FP1,2025-03-16
0 days 00:29:44.848000,24.8,46.0,1018.3,False,41.5,127.0,0.5,1,Australian Grand Prix,FP1,2025-03-16
0 days 00:30:44.843000,24.8,46.0,1018.3,False,41.7,142.0,1.0,1,Australian Grand Prix,FP1,2025-03-16
0 days 00:31:44.860000,24.8,45.0,1018.3,False,41.8,139.0,1.0,1,Australian Grand Prix,FP1,2025-03-16
0 days 00:32:44.866000,24.8,45.0,1018.3,False,41.8,0.0,0.0,1,Australian Grand Prix,FP1,2025-03-16
0 days 00:33:44.877000,24.8,46.0,1018.4,False,42.1,105.0,1.0,1,Australian Grand Prix,FP1,2025-03-16
0 days 00:34:44.878000,24.7,44.0,1018.4,False,42.1,199.0,0.8,1,Australian Grand Prix,FP1,2025-03-16
0 days 00:35:44.898000,24.6,46.0,1018.4,False,42.0,248.0,0.0,1,Australian Grand Prix,FP1,2025-03-16
0 days 00:36:44.893000,24.6,46.0,1018.4,False,41.7,228.0,0.7,1,Australian Grand Prix,FP1,2025-03-16
0 days 00:37:44.879000,24.5,46.0,1018.4,False,41.7,166.0,0.3,1,Australian Grand Prix,FP1,2025-03-16
0 days 00:38:44.918000,24.3,46.0,1018.3,False,41.9,129.0,0.7,1,Australian Grand Prix,FP1,2025-03-16
0 days 00:39:44.918000,24.3,47.0,1018.3,False,42.4,180.0,1.0,1,Australian Grand Prix,FP1,2025-03-16
0 days 00:40:44.919000,24.3,47.0,1018.3,False,42.4,260.0,1.2,1,Australian Grand Prix,FP1,2025-03-16
0 days 00:41:44.935000,24.3,47.0,1018.3,False,42.4,0.0,0.7,1,Australian Grand Prix,FP1,2025-03-16
0 days 00:42:44.963000,24.4,47.0,1018.3,False,42.5,92.0,0.4,1,Australian Grand Prix,FP1,2025-03-16
0 days 00:43:44.959000,24.4,47.0,1018.2,False,42.7,121.0,1.2,1,Australian Grand Prix,FP1,2025-03-16
0 days 00:44:44.984000,24.3,47.0,1018.2,False,42.8,113.0,1.6,1,Australian Grand Prix,FP1,2025-03-16
0 days 00:45:44.968000,24.1,48.0,1018.2,False,42.2,115.0,1.1,1,Australian Grand Prix,FP1,2025-03-16
