GP,AverageCornerSpeed
Abu Dhabi Grand Prix,114.1
Australian Grand Prix,132.7
Austrian Grand Prix,116.5
Azerbaijan Grand Prix,99.7
Bahrain Grand Prix,97.6
Belgian Grand Prix,96.8
British Grand Prix,120.3
Canadian Grand Prix,96.7
Chinese Grand Prix,103.3
Dutch Grand Prix,120.1
Emilia Romagna Grand Prix,117.9
Hungarian Grand Prix,120.0
Italian Grand Prix,130.5
Japanese Grand Prix,119.9
Las Vegas Grand Prix,105.9
Mexico City Grand Prix,87.6
Miami Grand Prix,93.5
Monaco Grand Prix,71.4
Qatar Grand Prix,147.9
Saudi Arabian Grand Prix,142.6
Singapore Grand Prix,97.1
Spanish Grand Prix,137.8
São Paulo Grand Prix,98.1
United States Grand Prix,97.5
