Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,RoundNumber,GP,Session,Date
0 days 01:03:13.785000,VER,1,96.296,2,1.0,,,30.916,41.661,23.719,0 days 01:02:08.426000,0 days 01:02:50.087000,0 days 01:03:13.806000,232.0,248.0,276.0,287.0,True,SOFT,5,0,Red Bull Racing,0 days 01:01:37.489000,05:19.9,1,1.0,False,,False,True,1,Bahrain Grand Prix,R,02-03-2024
0 days 01:04:50.538000,VER,1,96.753,3,1.0,,,30.999,41.966,23.788,0 days 01:03:44.805000,0 days 01:04:26.771000,0 days 01:04:50.559000,231.0,243.0,276.0,290.0,False,SOFT,6,0,Red Bull Racing,0 days 01:03:13.785000,06:56.2,1,1.0,False,,False,True,1,Bahrain Grand Prix,R,02-03-2024
0 days 01:06:27.185000,VER,1,96.647,4,1.0,,,30.931,41.892,23.824,0 days 01:05:21.490000,0 days 01:06:03.382000,0 days 01:06:27.206000,233.0,253.0,276.0,290.0,False,SOFT,7,0,Red Bull Racing,0 days 01:04:50.538000,08:33.0,1,1.0,False,,False,True,1,Bahrain Grand Prix,R,02-03-2024
0 days 01:08:04.358000,VER,1,97.173,5,1.0,,,31.255,42.056,23.862,0 days 01:06:58.461000,0 days 01:07:40.517000,0 days 01:08:04.379000,231.0,245.0,276.0,289.0,False,SOFT,8,0,Red Bull Racing,0 days 01:06:27.185000,10:09.6,1,1.0,False,,False,True,1,Bahrain Grand Prix,R,02-03-2024
0 days 01:09:41.450000,VER,1,97.092,6,1.0,,,31.041,42.187,23.864,0 days 01:08:35.420000,0 days 01:09:17.607000,0 days 01:09:41.471000,231.0,247.0,276.0,296.0,False,SOFT,9,0,Red Bull Racing,0 days 01:08:04.358000,11:46.8,1,1.0,False,,False,True,1,Bahrain Grand Prix,R,02-03-2024
0 days 01:11:18.488000,VER,1,97.038,7,1.0,,,31.015,42.118,23.905,0 days 01:10:12.486000,0 days 01:10:54.604000,0 days 01:11:18.509000,232.0,242.0,277.0,291.0,False,SOFT,10,0,Red Bull Racing,0 days 01:09:41.450000,13:23.9,1,1.0,False,,False,True,1,Bahrain Grand Prix,R,02-03-2024
0 days 01:12:55.512000,VER,1,97.024,8,1.0,,,31.041,42.077,23.906,0 days 01:11:49.550000,0 days 01:12:31.627000,0 days 01:12:55.533000,231.0,250.0,277.0,291.0,False,SOFT,11,0,Red Bull Racing,0 days 01:11:18.488000,15:00.9,1,1.0,False,,False,True,1,Bahrain Grand Prix,R,02-03-2024
0 days 01:14:32.741000,VER,1,97.229,9,1.0,,,31.1,42.166,23.963,0 days 01:13:26.633000,0 days 01:14:08.799000,0 days 01:14:32.762000,231.0,243.0,276.0,292.0,False,SOFT,12,0,Red Bull Racing,0 days 01:12:55.512000,16:37.9,1,1.0,False,,False,True,1,Bahrain Grand Prix,R,02-03-2024
0 days 01:19:23.831000,VER,1,97.045,12,1.0,,,30.966,42.091,23.988,0 days 01:18:17.773000,0 days 01:18:59.864000,0 days 01:19:23.852000,234.0,249.0,277.0,292.0,False,SOFT,15,0,Red Bull Racing,0 days 01:17:46.786000,21:29.2,1,1.0,False,,False,True,1,Bahrain Grand Prix,R,02-03-2024
0 days 01:21:00.861000,VER,1,97.03,13,1.0,,,30.964,42.055,24.011,0 days 01:19:54.816000,0 days 01:20:36.871000,0 days 01:21:00.882000,233.0,251.0,277.0,292.0,False,SOFT,16,0,Red Bull Racing,0 days 01:19:23.831000,23:06.3,1,1.0,False,,False,True,1,Bahrain Grand Prix,R,02-03-2024
