GP,Driver,Stint,Compound,StintLength,AirTemp,TrackTemp,FreshTyre,RaceProgress,YellowLaps,SCLaps,VSCLaps,RedFlagLaps,CircuitType_x,TrackLength_x,CircuitType_y,TrackLength_y,CircuitType,TrackLength,TrackAbrasiveness
Australian Grand Prix,ALB,1,MEDIUM,6,15.985714285714286,27.26666666666667,1,0.0185185185185185,4,12,0,0,SemiPermanent,5.278,SemiPermanent,5.278,SemiPermanent,5.278,Medium
Australian Grand Prix,ALO,1,MEDIUM,8,17.1625,30.36875,0,0.0185185185185185,5,11,0,0,SemiPermanent,5.278,SemiPermanent,5.278,SemiPermanent,5.278,Medium
Australian Grand Prix,ALO,2,HARD,46,17.292063492063495,29.506349206349203,1,0.1851851851851851,3,7,2,2,SemiPermanent,5.278,SemiPermanent,5.278,SemiPermanent,5.278,Medium
Australian Grand Prix,BOT,1,SOFT,1,15.914285714285716,25.704761904761902,1,0.0185185185185185,6,14,0,0,SemiPermanent,5.278,SemiPermanent,5.278,SemiPermanent,5.278,Medium
Australian Grand Prix,BOT,2,HARD,6,16.683333333333334,28.37222222222222,1,0.037037037037037,3,7,0,2,SemiPermanent,5.278,SemiPermanent,5.278,SemiPermanent,5.278,Medium
Australian Grand Prix,BOT,3,HARD,52,17.182258064516127,28.80322580645161,0,0.1851851851851851,1,1,4,0,SemiPermanent,5.278,SemiPermanent,5.278,SemiPermanent,5.278,Medium
Australian Grand Prix,DEV,1,HARD,7,16.525641025641026,28.066666666666663,1,0.0185185185185185,9,21,0,2,SemiPermanent,5.278,SemiPermanent,5.278,SemiPermanent,5.278,Medium
Australian Grand Prix,DEV,2,MEDIUM,37,17.498,30.298,1,0.1851851851851851,1,2,3,1,SemiPermanent,5.278,SemiPermanent,5.278,SemiPermanent,5.278,Medium
Australian Grand Prix,DEV,3,SOFT,8,17.38235294117647,29.823529411764707,1,0.8518518518518519,1,1,0,0,SemiPermanent,5.278,SemiPermanent,5.278,SemiPermanent,5.278,Medium
Australian Grand Prix,GAS,1,SOFT,7,16.66774193548387,28.635483870967743,1,0.0185185185185185,7,17,0,2,SemiPermanent,5.278,SemiPermanent,5.278,SemiPermanent,5.278,Medium
Australian Grand Prix,GAS,2,HARD,46,17.21060606060606,29.44393939393939,1,0.1851851851851851,2,5,4,1,SemiPermanent,5.278,SemiPermanent,5.278,SemiPermanent,5.278,Medium
Australian Grand Prix,HAM,1,MEDIUM,7,16.26111111111111,27.405555555555555,1,0.0185185185185185,8,18,0,2,SemiPermanent,5.278,SemiPermanent,5.278,SemiPermanent,5.278,Medium
Australian Grand Prix,HAM,2,HARD,46,17.25076923076923,29.586153846153845,1,0.1851851851851851,2,5,4,2,SemiPermanent,5.278,SemiPermanent,5.278,SemiPermanent,5.278,Medium
Australian Grand Prix,HUL,1,MEDIUM,7,16.534615384615385,28.146153846153844,1,0.0185185185185185,6,16,0,0,SemiPermanent,5.278,SemiPermanent,5.278,SemiPermanent,5.278,Medium
Australian Grand Prix,HUL,2,HARD,46,17.122535211267607,28.95633802816901,1,0.1851851851851851,4,8,2,4,SemiPermanent,5.278,SemiPermanent,5.278,SemiPermanent,5.278,Medium
Australian Grand Prix,MAG,1,MEDIUM,7,16.423809523809524,28.195238095238096,1,0.0185185185185185,5,13,0,0,SemiPermanent,5.278,SemiPermanent,5.278,SemiPermanent,5.278,Medium
Australian Grand Prix,MAG,3,HARD,45,17.12121212121212,28.83939393939394,0,0.1851851851851851,1,2,4,1,SemiPermanent,5.278,SemiPermanent,5.278,SemiPermanent,5.278,Medium
Australian Grand Prix,NOR,1,MEDIUM,7,15.988461538461538,27.03846153846154,1,0.0185185185185185,5,14,0,1,SemiPermanent,5.278,SemiPermanent,5.278,SemiPermanent,5.278,Medium
